polarization,radius_nm,medium_kind,g_mie,g_rgd_ref,l_s_um,lstar_mie_um,lstar_rgd_ref_um,lstar_ratio_mie_over_rgd,n_photons
linear,20.0,MieMedium,0.017315882477824857,0.01707798707335239,549.3307247641008,559.0104846196465,558.8751880003888,1.0002420873607607,300000
linear,35.0,MieMedium,0.05671502940464281,0.05143308179139628,111.66582435273766,118.37973447436508,117.72055530212019,1.0055995248285499,300000
linear,55.0,MieMedium,0.1371415347053589,0.13394780968306053,34.47699193408689,39.95671749284397,39.809369827319216,1.003701331273615,300000
linear,75.0,MieMedium,0.2642444667999355,0.25083128519999953,17.353333556168348,23.585732995703726,23.163451987982477,1.0182304868868568,300000
linear,100.0,MieMedium,0.4837397268122745,0.4367121061395339,10.464030648679188,20.2689054187096,18.57670076479802,1.0910928520266758,300000
linear,175.0,MieMedium,0.7659142796983476,0.7842880769418455,4.790953144928348,20.466661267310666,22.209959825154122,0.9215082525332142,300000
circular,20.0,MieMedium,0.018645411751026707,0.01764740851729568,549.3307247641008,559.7678263717798,559.1991404379295,1.0010169649642255,300000
circular,35.0,MieMedium,0.05457184027827092,0.05521214337216298,111.66582435273766,118.11137970081684,118.19142632855,0.9993227374419643,300000
circular,55.0,MieMedium,0.13971799435284743,0.13265386495950718,34.47699193408689,40.07638391570373,39.74998047633809,1.0082114113127663,300000
circular,75.0,MieMedium,0.26569071065064886,0.2505554066209498,17.353333556168348,23.63218579400596,23.154925273296982,1.020611619993409,300000
circular,100.0,MieMedium,0.48273669465079766,0.4372237381119796,10.464030648679188,20.22960171438212,18.593589241973557,1.087987986134242,300000
circular,175.0,MieMedium,0.7647931990636901,0.7851673577376617,4.790953144928348,20.369109761522836,22.300862171019507,0.9133776804375291,300000
