polarization,radius_nm,S,ci95,n_valid
linear,20.0,7.102575343455063,1.0327711747523018,5
linear,35.0,6.574519248301129,0.22574869674442902,5
linear,55.0,6.762148415847527,0.2168969260427092,5
linear,75.0,6.926534551119518,0.12583800449493862,5
linear,100.0,6.897090737499354,0.08565460751348862,5
linear,175.0,4.396713888849648,0.1489900656597425,5
circular,20.0,4.356502312190153,0.24991287971531875,5
circular,35.0,4.232531434884114,0.17160249313572137,5
circular,55.0,4.2544227211666685,0.09067677430071164,5
circular,75.0,4.273591847699312,0.06080386583182933,5
circular,100.0,4.03503017229446,0.04690335791432777,5
circular,175.0,3.317563491085436,0.01748850228101661,5
