polarization,radius_nm,S,ci95,n_valid
linear,20.0,6.520079777132645,1.244774579563288,5
linear,35.0,6.4528771916585885,0.36464405455782767,5
linear,55.0,6.874687838046623,0.2574083405458941,5
linear,75.0,6.954858249135095,0.15974142744550365,5
linear,100.0,6.878870835458459,0.06588665073364668,5
linear,175.0,4.726463523037042,0.06724209588489131,5
circular,20.0,4.128732092958284,0.1694651385562952,5
circular,35.0,4.2581398274733875,0.09237009509985805,5
circular,55.0,4.332093699637582,0.05264384278895298,5
circular,75.0,4.313822193523498,0.07265508239025974,5
circular,100.0,4.052894334843954,0.06483936609914197,5
circular,175.0,3.390766214481656,0.00919707385311618,5
