polarization,radius_nm,S_mie,ci95_mie,n_valid_mie,S_rgd,ci95_rgd,n_valid_rgd,delta_S_mie_minus_rgd,ratio_S_mie_over_rgd
linear,20.0,6.520079777132645,1.244774579563288,5,7.102575343455063,1.0327711747523018,5,-0.5824955663224181,0.917988118653443
linear,35.0,6.4528771916585885,0.36464405455782767,5,6.574519248301129,0.22574869674442902,5,-0.12164205664254091,0.9814979541395406
linear,55.0,6.874687838046623,0.2574083405458941,5,6.762148415847527,0.2168969260427092,5,0.11253942219909607,1.0166425543005464
linear,75.0,6.954858249135095,0.15974142744550365,5,6.926534551119518,0.12583800449493862,5,0.028323698015577214,1.004089158554908
linear,100.0,6.878870835458459,0.06588665073364668,5,6.897090737499354,0.08565460751348862,5,-0.01821990204089552,0.9973583206696363
linear,175.0,4.726463523037042,0.06724209588489131,5,4.396713888849648,0.1489900656597425,5,0.3297496341873938,1.0749991112734583
circular,20.0,4.128732092958284,0.1694651385562952,5,4.356502312190153,0.24991287971531875,5,-0.2277702192318687,0.9477171816035692
circular,35.0,4.2581398274733875,0.09237009509985805,5,4.232531434884114,0.17160249313572137,5,0.025608392589273166,1.006050372686712
circular,55.0,4.332093699637582,0.05264384278895298,5,4.2544227211666685,0.09067677430071164,5,0.07767097847091353,1.0182565258700043
circular,75.0,4.313822193523498,0.07265508239025974,5,4.273591847699312,0.06080386583182933,5,0.0402303458241855,1.0094137080137504
circular,100.0,4.052894334843954,0.06483936609914197,5,4.03503017229446,0.04690335791432777,5,0.0178641625494933,1.0044272686415465
circular,175.0,3.390766214481656,0.00919707385311618,5,3.317563491085436,0.01748850228101661,5,0.07320272339622003,1.0220652064664089
