polarization,alpha,S,ci95,n_valid
linear,0.0,6.187241111870712,0.03938733357353579,5
linear,0.1,6.25740464874723,0.08693744283063658,5
linear,0.2,6.284308416627939,0.06100118080352206,5
linear,0.3,6.2891246221582495,0.06989158813045988,5
linear,0.4,6.2633012251784965,0.07544958235230656,5
linear,0.5,6.226047303387933,0.11878461437695552,5
linear,0.6,6.274895021998491,0.026940652276174554,5
linear,0.7,6.277988093595366,0.07161067246467843,5
linear,0.8,6.245349356243777,0.029070373360042156,5
linear,0.9,6.274614918469811,0.04664643607733159,5
linear,1.0,6.197057455460017,0.08981018484352114,5
circular,0.0,3.828077098635849,0.024308596513387067,5
circular,0.1,3.821766440947097,0.03232984621618433,5
circular,0.2,3.8183353330667273,0.03570951400840003,5
circular,0.3,3.811952290214843,0.009958737748100913,5
circular,0.4,3.7943986447434717,0.024744460749301936,5
circular,0.5,3.781602309298293,0.017334672351814025,5
circular,0.6,3.7900663556420175,0.033199873170536236,5
circular,0.7,3.7631714996352335,0.027844556418720984,5
circular,0.8,3.7629197679586417,0.03322678668943262,5
circular,0.9,3.7394801709690597,0.02688418869351915,5
circular,1.0,3.7376215746833763,0.03252150284939471,5
