family,configuration,polarization,S_min,S_max,relative_span_percent
theory_one_scale,AWM,-,6.042473532222514,6.043125319316737,0.010786759606773444
theory_two_scale,AWM mixture,-,6.04247353222253,7.536523830709252,24.725806253340487
homogeneous,radius sweep,circular,3.317563491085436,4.356502312190153,31.316320664138896
homogeneous,radius sweep,linear,4.396713888849648,7.102575343455063,61.542814088213824
homogeneous_mie,radius sweep,circular,3.390766214481656,4.332093699637582,27.761497715047454
homogeneous_mie,radius sweep,linear,4.726463523037042,6.954858249135095,47.1471897590394
mixture,alpha sweep,circular,3.7376215746833763,3.828077098635849,2.420135964677894
mixture,alpha sweep,linear,6.187241111870712,6.2891246221582495,1.6466710840161936
bilayer,inverse,circular,3.513859960631821,4.626200074052242,31.65578952726431
bilayer,inverse,linear,5.305763563852681,7.303333108251039,37.64904938485161
bilayer,normal,circular,4.029752678045349,5.981994745021477,48.44570431362234
bilayer,normal,linear,7.0291556992693796,11.155645488126579,58.70534051886362
