medium,mode,referencia,n_puntos,a,c_ajustado,c_esperado,exp_libre,c_aj/c_esp
Homogeneous,estimator,own,6,1.7568417536353313,0.015323085529707802,,-0.39799939420824354,
Homogeneous,estimator,cross,7,1.7340142115497552,0.047461326210856844,0.047121880907804135,-0.049477111126163036,1.0072035601404972
Homogeneous,analog,own,6,357384.2662334311,0.24557765209776614,,-0.3284818566485702,
Homogeneous,analog,cross,7,383408.23369058425,0.21257344462297842,0.002570955189992472,-0.38045161207200334,82.68267196971289
Mixture,estimator,own,6,0.19964063017302924,0.0025424434955500386,,-0.4140942462761373,
Mixture,estimator,cross,7,0.0764467244117607,0.022221305664906748,0.02396144305808511,-0.008845010314395373,0.9273776045557823
Mixture,analog,own,6,205527.39339343243,0.15111323038585872,,-0.39925044220272105,
Mixture,analog,cross,7,211097.74678722606,0.13336691875771867,0.0007391368652424115,-0.44909366694824787,180.43602616678967
Bilayer,estimator,own,6,28.342739707794046,0.020517872582154276,,-0.46937575128432324,
Bilayer,estimator,cross,7,28.49447820986084,0.04145009611575959,0.04026793751002732,-0.21817184647161908,1.029357316982969
Bilayer,analog,own,6,202435.25249204272,0.221050015492862,,-0.3677355026045299,
Bilayer,analog,cross,7,213257.70603491942,0.19365644885820696,0.0070497284260127024,-0.38792733291982534,27.47005801580051
