medium,mode,N,D_own,D_cross
Bilayer,analog,1000000,0.4680980641617148,0.4664927157531712
Bilayer,analog,3000000,0.45096648066783523,0.4412383162729507
Bilayer,analog,10000000,0.33018090787806903,0.32875956375341403
Bilayer,analog,30000000,0.21257374659868516,0.20419709284835377
Bilayer,analog,100000000,0.11443058470078565,0.10929688905165334
Bilayer,analog,500000000,0.05220118170665687,0.048998199259967255
Bilayer,analog,1000000000,,0.04046501881832795
Bilayer,estimator,1000,0.1676587531589636,0.17364429211655674
Bilayer,estimator,3000,0.1091823083187806,0.10717166544476071
Bilayer,estimator,10000,0.056903822824858216,0.06531129247858783
Bilayer,estimator,30000,0.02553871820214374,0.05142221275386166
Bilayer,estimator,100000,0.019821637966779472,0.046131239707573816
Bilayer,estimator,300000,0.012639258977775625,0.04407001258835292
Bilayer,estimator,500000,,0.04046501881832795
Homogeneous,analog,1000000,0.632891337689961,0.6409121493672116
Homogeneous,analog,3000000,0.4531333821579716,0.4440040766280543
Homogeneous,analog,10000000,0.43585401122006884,0.43021122446254284
Homogeneous,analog,30000000,0.24428247562094402,0.23899484260020257
Homogeneous,analog,100000000,0.16861078655545397,0.16324013137896748
Homogeneous,analog,500000000,0.07968029396110626,0.06951791233721012
Homogeneous,analog,1000000000,,0.04517025890358927
Homogeneous,estimator,1000,0.042904302573601484,0.061857227230575074
Homogeneous,estimator,3000,0.03462376998893525,0.0570459202810942
Homogeneous,estimator,10000,0.026977037510621398,0.05138589769785519
Homogeneous,estimator,30000,0.012906800105059747,0.047921207750481004
Homogeneous,estimator,100000,0.0067274583320128655,0.046572553065615356
Homogeneous,estimator,300000,0.005451433875640314,0.045945514003570664
Homogeneous,estimator,500000,,0.04517025890358927
Mixture,analog,1000000,0.45569530080007886,0.45487651159748815
Mixture,analog,3000000,0.3897657923140383,0.38865441714596427
Mixture,analog,10000000,0.23290616357855562,0.2296305753083205
Mixture,analog,30000000,0.14011166499564318,0.13989666237963827
Mixture,analog,100000000,0.07355076945114303,0.06865652559515685
Mixture,analog,500000000,0.0453420408296873,0.037226869707621374
Mixture,analog,1000000000,,0.022264592864138396
Mixture,estimator,1000,0.014340867144953933,0.023840534583378332
Mixture,estimator,3000,0.008293372718872018,0.02295390446880167
Mixture,estimator,10000,0.006926486191373033,0.022328337076253157
Mixture,estimator,30000,0.0024851184736746977,0.021970794425394482
Mixture,estimator,100000,0.0017572919744266167,0.022347938417906645
Mixture,estimator,300000,0.0016036348805937091,0.022318900352761538
Mixture,estimator,500000,,0.022264592864138396
