order,d_over_ls,w_B,w_B_ci_low,w_B_ci_high,w_P,w_P_ci_low,w_P_ci_high,delta_w_P_minus_B,delta_ci_low,delta_ci_high,bootstrap_probability_delta_le_zero
normal,1.000306052881089e-05,-0.016115462361878233,-0.16139752335466717,0.09855114778704989,-0.012772820553476965,-0.07919803942237336,0.04993001615512791,0.003342641808401268,-0.07505654717847828,0.10852390826296106,0.4775
normal,0.09999999610199657,0.10183701089288139,-0.027577647988497243,0.20598261492932876,-0.15292279420744015,-0.20685877908728137,-0.10556712086722975,-0.25475980510032153,-0.33525360046159935,-0.14742733540602146,1.0
normal,0.24999999921028287,0.23614375799592446,0.13441292277960018,0.3169746256534506,0.14069505138150554,0.07191236147397102,0.21068364722971752,-0.09544870661441893,-0.17194536658097695,-0.003925800625301706,0.97925
normal,0.49999999842056575,0.37139294111240584,0.273078782552344,0.4565763216079469,0.4361775363261837,0.4051894929863192,0.4655759049260311,0.06478459521377788,-0.00867863587121695,0.15008035514251591,0.041
normal,0.9999999968411315,0.5123490370380616,0.43043664531800213,0.5844912862452418,0.729476597904302,0.6903701550968492,0.7690552550896643,0.2171275608662404,0.16282563415331971,0.2841150492104217,0.0
normal,2.000000002637554,0.6953125522665562,0.5833197560269241,0.8194613841291913,0.9578919313603874,0.9008110059307027,1.0178935040866839,0.2625793790938312,0.18696946594482813,0.34011049037724267,0.0
normal,2.999999999478686,0.7456208202167616,0.6191904875317071,0.8829527231833056,0.9274544663228502,0.8606909290439957,1.0070803915121618,0.18183364610608865,0.10175282891823187,0.26515783496226597,0.0
normal,5.00000000211624,0.8023691684576016,0.7135986747552817,0.8999791587807532,0.9308633432125945,0.8667817205049375,0.9985578725226492,0.1284941747549928,0.040148258523677906,0.20403884059847954,0.00225
normal,6.999999995798503,0.9425034129542911,0.8245084312177099,1.0615550466291028,1.0004102085028383,0.9496994995927551,1.0542367161459565,0.057906795548547274,-0.04639968566622491,0.1612555342056924,0.145
normal,10.00000000423248,0.9864455434583256,0.8997882840868677,1.0816457465419969,0.9831016704827752,0.9407579690209024,1.0282094379312,-0.003343872975550388,-0.0728211017969129,0.05762256828193746,0.53325
inverse,1.000306052881089e-05,0.08013553350195138,-0.019967354971170206,0.1665664165752699,0.06547310180487129,0.01008536189943455,0.12266443677200904,-0.014662431697080092,-0.0664624171960878,0.04925773628634972,0.69425
inverse,0.09999999610199657,-0.08909839670895303,-0.1991251306422804,0.01909768953452322,-0.482968049912683,-0.5560843523886864,-0.41550072082355793,-0.39386965320372996,-0.4684813202002442,-0.2971535990351851,1.0
inverse,0.24999999921028287,0.08380132160330579,0.005349230349490819,0.15159781673630088,-0.16754772515967964,-0.24078851970579576,-0.10188922113224438,-0.2513490467629854,-0.3040404939207949,-0.19773348936279406,1.0
inverse,0.49999999842056575,0.15311150443057872,0.08124423443266533,0.23041506137512174,0.14269986376558383,0.08137800298233204,0.1981382628042896,-0.010411640664994892,-0.0598885765595433,0.04799968538853199,0.65525
inverse,0.9999999968411315,0.38330917761228933,0.3132694316682516,0.4587322130133448,0.5829692716823949,0.5207707705113429,0.6465148478918429,0.19966009407010554,0.15709493376801978,0.24348829378178005,0.0
inverse,2.000000002637554,0.5806998818110461,0.47120544641242923,0.7148514354673721,0.9029191525191579,0.8308069349192786,0.9814836841064302,0.32221927070811174,0.22140742955250028,0.4053073851407932,0.0
inverse,2.999999999478686,0.6343492565947789,0.5431685869855466,0.7434996238748819,0.9880936029023096,0.9112213320601423,1.0723991611279815,0.3537443463075307,0.2769308075929489,0.4182870219203508,0.0
inverse,5.00000000211624,0.7730362776073596,0.6792517251455128,0.8950278202663019,1.0478899492166354,0.9842850442325728,1.1147526372371772,0.27485367160927576,0.18796353606704477,0.3459158526763982,0.0
inverse,6.999999995798503,0.8586338994972202,0.7637309310779542,0.9854960031082614,1.0229665500230993,0.9645026467701733,1.086053037292295,0.1643326505258791,0.07660839195288305,0.23865999897719004,0.00025
inverse,10.00000000423248,0.9861011521103183,0.8635888461127941,1.1433460208921973,1.0447563466702396,0.9853739047256942,1.1080934595450365,0.0586551945599213,-0.05344223793685459,0.14597874759991622,0.14225
